X,Y,Z,N1,N2,N3,N4,N5,N6,N7,N8,W1,W2,W3,W4,W5,W6,W7,W8,W9,W0,F1,F2,Electricity,Start_Time,Phone_MAC,Phone_Brand,Phone_Android,Scan_Duration,Scan_Interval,Tx_Power,TRUE,t_cluster,t_sort,f_cluster,f_sort
90,30,0,-83,-82,-86,-91,-93,-78,-76,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29842,0,0,9030,1,1,5,6
90,30,0,-83,-79,-81,-91,-88,-80,-77,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29959,0,0,9030,1,1,3,4
90,30,0,-88,-78,-78,-81,-80,-81,-78,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29959,0,0,9030,0,0,2,5
90,30,0,-82,-77,-78,-92,-86,-80,-77,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29959,0,0,9030,1,1,3,4
90,30,0,-96,-77,-79,-84,-84,-81,-78,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29959,0,0,9030,1,1,2,5
90,30,0,-78,-78,-79,-86,-90,-79,-75,-77,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29959,0,0,9030,0,0,1,1
90,30,0,-82,-77,-78,-82,-90,-79,-78,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29959,0,0,9030,0,0,1,1
90,30,0,-81,-83,-80,-83,-79,-79,-77,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29959,0,0,9030,0,0,3,4
90,30,0,-81,-83,-78,-92,-79,-81,-78,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29959,0,0,9030,1,1,3,4
90,30,0,-78,-82,-78,-96,-82,-79,-79,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29959,0,0,9030,1,1,3,4
210,30,0,-64,-68,-81,-84,-80,-83,-78,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:26,B4:0B:44:F3:74:66,smartisan,7.1.1,29928,0,0,21030,0,0,6,0
210,30,0,-66,-78,-77,-83,-90,-75,-72,-90,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:28,B4:0B:44:F3:74:66,smartisan,7.1.1,29990,0,0,21030,0,0,6,0
210,30,0,-65,-73,-77,-79,-87,-78,-71,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:28,B4:0B:44:F3:74:66,smartisan,7.1.1,29990,0,0,21030,0,0,6,0
210,30,0,-66,-73,-71,-86,-86,-76,-75,-68,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:28,B4:0B:44:F3:74:66,smartisan,7.1.1,29990,0,0,21030,0,0,6,0
210,30,0,-62,-76,-70,-79,-86,-77,-69,-67,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:28,B4:0B:44:F3:74:66,smartisan,7.1.1,29990,0,0,21030,0,0,6,0
210,30,0,-65,-74,-78,-83,-95,-75,-74,-80,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:28,B4:0B:44:F3:74:66,smartisan,7.1.1,29922,0,0,21030,0,0,6,0
